taxon,VS-VO,VS-PN,VS-NG,VS-NA,VS-ND,VS-NNum,VS-NRc,VO-PN,VO-NG,VO-NA,VO-ND,VO-NNum,VO-NRc,PN-NG,PN-NA,PN-ND,PN-NNum,PN-NRc,NG-NA,NG-ND,NG-NNum,NG-NRc,NA-ND,NA-NNum,NA-NRc,ND-NNum,ND-NRc,NNum-NRc
IE.SLAVIC.NINILCHIK_RUSSIAN,b,b,b,a,a,a,a,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
ST.TANI.NISHING,a,a,a,a,-,b,-,a,a,a,-,b,-,a,a,-,b,-,a,-,b,-,-,b,-,-,-,-
ST.TANI.NISI,a,a,a,a,-,b,-,a,a,a,-,b,-,a,a,-,b,-,a,-,b,-,-,b,-,-,-,-
An.OCEANIC.NIUE,d,d,d,d,-,c,c,d,d,d,-,c,c,d,d,-,c,c,d,-,c,c,-,c,c,-,-,a
NC.BANTOID.NKOMO_KELLE,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.NKOMO_OLOLI,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.NKORE_KIGA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
ST.NORTHERN_NAGA.NOCTE,a,a,a,b,a,-,b,a,a,b,a,-,b,a,b,a,-,b,b,a,-,b,c,-,d,-,b,-
NC.NORTHERN_ATLANTIC.NON,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NONI,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
May.MAYAN.NORTHERN_CAKCHIQUEL_SAN_MARTIN_JILOTEPEQUE,d,d,d,c,c,c,c,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
May.MAYAN.NORTHERN_CAKCHIQUEL_TECPAN,d,d,d,c,c,c,c,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
Cho.CHOCO.NORTHERN_EMBERA,a,a,a,b,a,b,a,a,a,b,a,b,a,a,b,a,b,a,b,a,b,a,c,d,c,b,a,c
May.MAYAN.NORTHERN_MAM_SAN_ILDEFONSO_IXTAHUACAN,d,d,d,-,c,c,c,d,d,-,c,c,c,d,-,c,c,c,-,c,c,c,-,-,-,a,a,a
UA.NUMIC.NORTHERN_PAIUTE,a,-,a,a,a,a,a,-,a,a,a,a,a,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a
UA.NUMIC.NORTHERN_PAIUTE_BANNOCK,a,-,a,a,a,a,a,-,a,a,a,a,a,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a
UA.TEPIMAN.NORTHERN_TEPEHUAN,d,c,c,-,c,c,c,c,c,-,c,c,c,a,-,a,a,a,-,a,a,a,-,-,-,a,a,a
An.OCEANIC.NORTH_EFATE_NGUNA,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.NORTH_EFATE_PWELE,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.NORTH_EFATE_SESAKE,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.NORTH_EFATE_SIVIRI,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.NORTH_EFATE_WORAVIU,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
An.OCEANIC.NORTH_MALO,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NTSIAMI,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
ESu.NILOTIC.NUER,-,b,b,b,b,b,a,-,-,-,-,-,-,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.NUMFOR,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
TK.KAM_TAI.NUNG,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
ST.NUNGISH.NUNG_CHINA,a,a,a,-,a,b,-,a,a,-,a,b,-,a,-,a,b,-,-,a,b,-,-,-,-,b,-,-
ST.BURMESE_LOLO.NUOSU_YI,a,a,-,b,b,b,-,a,-,b,b,b,-,-,b,b,b,-,-,-,-,-,d,d,-,d,-,-
NC.NUPOID.NUPE,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Tu.TU.NU_EN,b,-,a,b,b,b,a,-,c,d,d,d,c,-,-,-,-,-,b,b,b,a,d,d,c,d,c,c
ESu.NILOTIC.NYANGGWARA,b,b,b,b,a,b,a,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
NC.BANTOID.NYANJA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NYANJA_2,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.NYANJA_NYASA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.UBANGI.NZAKARA,b,b,b,a,b,b,a,d,d,c,d,d,c,d,c,d,d,c,c,d,d,c,b,b,a,d,c,c
NC.BANTOID.OBAA,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.OBELI,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.CROSS_RIVER.OBOLO,b,b,b,-,b,b,a,d,d,-,d,d,c,d,-,d,d,c,-,d,d,c,-,-,-,d,c,c
OM.MATLATZINCAN.OCUILTECO,b,b,-,a,a,a,-,d,-,c,c,c,-,-,c,c,c,-,-,-,-,-,a,a,-,a,-,-
IE.INDIC.ODIR_KHOWAR,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
Ijo.IJOID.OGBE_IJO,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
Ijo.IJOID.OGBOIN,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
NC.CROSS_RIVER.OGBRONUAGUM,b,b,-,a,b,a,a,d,-,c,d,c,c,-,c,d,c,c,-,-,-,-,b,a,a,c,c,a
Ijo.IJOID.OGULAGHA,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
Alg.ALGONQUIAN.OJIBWA_EASTERN,d,-,c,-,c,c,c,-,c,-,c,c,c,-,-,-,-,-,-,a,a,a,-,-,-,a,a,a
NC.DEFOID.OKA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
Tor.WAPEI_PALEI.OLO_ERETEI,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Tor.WAPEI_PALEI.OLO_LUMI,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Tor.WAPEI_PALEI.OLO_YEBIL,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
Sio.CORE_SIOUAN.OMAHA_PONCA,a,-,a,b,a,b,-,-,a,b,a,b,-,-,-,-,-,-,b,a,b,-,c,d,-,b,-,-
An.OCEANIC.ONEIBIA_AROSI,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Wak.NORTHERN_WAKASHAN.OOWEKYALA,d,d,d,c,c,-,c,d,d,c,c,-,c,d,c,c,-,c,c,c,-,c,a,-,a,-,a,-
UA.CAHITA.OPATA,a,a,a,-,a,-,a,a,a,-,a,-,a,a,-,a,-,a,-,a,-,a,-,-,-,-,a,-
Ijo.IJOID.OPEREMO,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
Ijo.IJOID.OPOROMO,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
Krd.RASHAD.ORIG,a,-,b,b,b,b,-,-,b,b,b,b,-,-,-,-,-,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.OROKO,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
TO.ORYA.ORYA_2,a,a,a,b,b,-,-,a,a,b,b,-,-,a,b,b,-,-,b,b,-,-,d,-,-,-,-,-
OM.OTOMIAN.OTOMI_DE_1776,d,d,d,c,c,c,c,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
OM.OTOMIAN.OTOMI_MEZQUITAL,d,d,d,c,c,c,c,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
NC.BANTOID.OYABI,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
Ijo.IJOID.OYAKIRI,a,-,a,a,a,a,b,-,a,a,a,a,b,-,-,-,-,-,a,a,a,b,a,a,b,a,b,b
NC.BANTOID.OYUOMI_MBAMA,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
NC.BANTOID.OYUOMI_TCHERRE,b,b,-,b,b,b,-,d,-,d,d,d,-,-,d,d,d,-,-,-,-,-,d,d,-,d,-,-
An.OCEANIC.PAAMA_FAULILI,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.OCEANIC.PAAMA_LAUL,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
An.OCEANIC.PAAMA_LIRONESA,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
AA.WEST_CHADIC.PAANCI,b,b,b,a,-,b,a,d,d,c,-,d,c,d,c,-,d,c,c,-,d,c,-,b,a,-,-,c
An.SAMA_BAJAW.PADEI_LAUT_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
Pae.PAEZAN.PAEZ,a,a,a,b,a,a,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
Pae.PAEZAN.PAEZ_2,a,a,a,b,a,a,-,a,a,b,a,a,-,a,b,a,a,-,b,a,a,-,c,c,-,a,-,-
AuA.MUNDA.PAHARPUR_SANTALI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.PAIWAN.PAIWAN,d,d,d,d,c,d,c,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
CW.CHAPACURA_WANHAN.PAKAANOVA,d,d,d,-,d,-,c,d,d,-,d,-,c,d,-,d,-,c,-,d,-,c,-,-,-,-,c,-
IE.INDIC.PALAS_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.PALAUAN.PALAUAN,b,b,b,a,a,a,a,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
Arw.EASTERN_ARAWAKAN.PALIKUR,b,b,a,b,a,a,-,d,c,d,c,c,-,c,d,c,c,-,b,a,a,-,c,c,-,a,-,-
MGe.GE_KAINGANG.PANARA,-,c,c,d,-,d,c,-,-,-,-,-,-,a,b,-,b,a,b,-,b,a,-,d,c,-,-,c
CSu.MORU_MAADI.PANDIKERI,-,a,-,b,b,b,a,-,-,-,-,-,-,-,b,b,b,a,-,-,-,-,d,d,c,d,c,c
An.ATAYALIC.PARAN_TAROKO,d,-,d,-,d,c,c,-,d,-,d,c,c,-,-,-,-,-,-,d,c,c,-,-,-,c,c,a
NC.BANTOID.PARE,b,b,b,b,a,b,a,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
NC.BANTOID.PARE_2,b,b,b,b,a,b,a,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
NC.BANTOID.PARE_SUD,b,b,b,b,a,b,a,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
NC.BANTOID.PARE_TANZANIA,b,b,b,b,a,b,a,d,d,d,c,d,c,d,d,c,d,c,d,c,d,c,c,d,c,b,a,c
IE.INDIC.PARGAM_NISAR_KHOWAR,a,a,a,a,-,-,b,a,a,a,-,-,b,a,a,-,-,b,a,-,-,b,-,-,b,-,-,-
ESu.NILOTIC.PARI,a,b,b,b,-,b,a,b,b,b,-,b,a,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
Tor.MARIENBERG.PARUWA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
An.OCEANIC.PATEP,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
AuA.MUNDA.PATICHORA_SANTALI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.CENTRAL_MALAYO_POLYNESIAN.PAULOHI,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
Aru.ARAUAN.PAUMARI,-,c,c,d,c,d,c,-,-,-,-,-,-,a,b,a,b,a,b,a,b,a,c,d,c,b,a,c
Teb.PAWAIAN.PAWAIA,a,a,-,a,a,b,-,a,-,a,a,b,-,-,a,a,b,-,-,-,-,-,a,b,-,b,-,-
NC.BANTOID.PEMBA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AA.WEST_CHADIC.PERO,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
AA.WEST_CHADIC.PERO_2,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
IE.IRANIAN.PERSIAN,a,b,b,b,a,a,a,b,b,b,a,a,a,d,d,c,c,c,d,c,c,c,c,c,c,a,a,a
Slb.PIAROA.PIAROA,a,-,a,b,a,b,-,-,a,b,a,b,-,-,-,-,-,-,b,a,b,-,c,d,-,b,-,-
Gcu.SOUTH_GUAICURUAN.PILAGA,d,-,d,d,c,-,c,-,d,d,c,-,c,-,-,-,-,-,d,c,-,c,c,-,c,-,a,-
UA.TEPIMAN.PIMA_BAJO,a,-,a,a,a,a,a,-,a,a,a,a,a,-,-,-,-,-,a,a,a,a,a,a,a,a,a,a
UA.AZTECAN.PIPIL,d,d,d,c,-,c,c,d,d,c,-,c,c,d,c,-,c,c,c,-,c,c,-,a,a,-,-,a
Mur.MURA.PIRAHA,a,a,a,b,b,b,-,a,a,b,b,b,-,a,b,b,b,-,b,b,b,-,d,d,-,d,-,-
An.SAMA_BAJAW.PITULUA_BAJAU,-,-,-,-,-,-,-,d,d,d,d,-,c,d,d,d,-,c,d,d,-,c,d,-,c,-,c,-
AA.BIU_MANDARA.PODOKO,d,d,d,-,c,d,c,d,d,-,c,d,c,d,-,c,d,c,-,c,d,c,-,-,-,b,a,c
An.OCEANIC.POHNPEIAN,b,b,-,b,b,b,a,d,-,d,d,d,c,-,d,d,d,c,-,-,-,-,d,d,c,d,c,c
ESu.NILOTIC.POKOT,d,d,d,d,-,d,c,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
IE.SLAVIC.POLISH,-,-,-,-,-,-,-,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
Sko.WARAPU.POO,a,-,b,b,b,b,a,-,b,b,b,b,a,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
IE.ROMANCE.PORTUGUESE,b,b,b,b,a,-,a,d,d,d,c,-,c,d,d,c,-,c,d,c,-,c,c,-,c,-,a,-
An.OCEANIC.PORT_SANDWICH,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
TK.KAM_TAI.PO_AI,b,-,b,b,b,a,-,-,d,d,d,c,-,-,-,-,-,-,d,d,c,-,d,c,-,c,-,-
IE.NURISTANI.PRASUNI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.LAMPUNGIC.PUBIAN_LAMPUNG_API,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
Aym.AYMARAN.PUKI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
An.OCEANIC.PULO_ANNA,b,b,b,-,b,a,-,d,d,-,d,c,-,d,-,d,c,-,-,d,c,-,-,-,-,c,-,-
An.OCEANIC.PULUWATESE,b,b,a,b,b,a,a,d,c,d,d,c,c,c,d,d,c,c,b,b,a,a,d,c,c,c,c,a
AB.ANSON_BAY.PUNGUPUNGU,a,a,a,b,-,b,-,a,a,b,-,b,-,a,b,-,b,-,b,-,b,-,-,d,-,-,-,-
IE.INDIC.PUNIAL_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
IE.INDIC.PUNJABI_MAJHI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Tar.TARASCAN.PUREPECHA,b,-,-,b,a,a,a,-,-,d,c,c,c,-,-,-,-,-,-,-,-,-,c,c,c,a,a,a
Tar.TARASCAN.PURHEPECHA,b,-,-,b,a,a,a,-,-,d,c,c,c,-,-,-,-,-,-,-,-,-,c,c,c,a,a,a
Tar.TARASCAN.PURHEPECHA_2,b,-,-,b,a,a,a,-,-,d,c,c,c,-,-,-,-,-,-,-,-,-,c,c,c,a,a,a
ST.BODIC.PURIK,a,a,-,a,a,b,b,a,-,a,a,b,b,-,a,a,b,b,-,-,-,-,a,b,b,b,b,d
Que.QUECHUAN.QUECHUA_IMBABURA,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Que.QUECHUAN.QUICHUA_IMBABURA_2,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
Chk.CHIMAKUAN.QUILEUTE,d,-,d,c,c,c,-,-,d,c,c,c,-,-,-,-,-,-,c,c,c,-,a,a,-,a,-,-
An.OCEANIC.RAGA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
AuA.MUNDA.RAJARAMPUR_SANTALI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Chi.RAMA.RAMA,a,a,a,b,a,b,-,a,a,b,a,b,-,a,b,a,b,-,b,a,b,-,c,d,-,b,-,-
Sko.WARAPU.RAMO,a,-,b,b,b,b,a,-,b,b,b,b,a,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
An.LAMPUNGIC.RANAU_LAMPUNG_API,b,b,b,b,b,a,a,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
ST.BODIC.RANG_PAS,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
Arc.ARAUCANIAN.RANQUELCHE,d,-,c,c,c,c,-,-,c,c,c,c,-,-,-,-,-,-,a,a,a,-,a,a,-,a,-,-
An.OCEANIC.RAPA_NUI,d,d,d,d,d,c,c,d,d,d,d,c,c,d,d,d,c,c,d,d,c,c,d,c,c,c,c,a
AuA.MUNDA.RASHIDPUR_SANTALI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
AuA.MUNDA.RAUTNAGAR_SANTALI,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
ST.NUNGISH.RAWANG,a,a,a,b,a,b,b,a,a,b,a,b,b,a,b,a,b,b,b,a,b,b,c,d,d,b,b,d
AuA.MUNDA.REMO,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Arw.INLAND_NORTHERN_ARAWAKAN.RESIGARO,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
Arw.INLAND_NORTHERN_ARAWAKAN.RESIGARO_2,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
ST.BODIC.RGYALTHANG,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
IE.ROMANCE.ROMANIAN,b,b,b,b,-,a,a,d,d,d,-,c,c,d,d,-,c,c,d,-,c,c,-,c,c,-,-,a
IE.ROMANCE.ROMANIAN_2,b,b,b,b,-,a,a,d,d,d,-,c,c,d,d,-,c,c,d,-,c,c,-,c,c,-,-,a
IE.ROMANCE.ROMANSH_GRISHUN,b,-,b,b,a,a,a,-,d,d,c,c,c,-,-,-,-,-,d,c,c,c,c,c,c,a,a,a
IE.ROMANCE.ROMANSH_SURMIRAN,b,-,b,b,a,a,a,-,d,d,c,c,c,-,-,-,-,-,d,c,c,c,c,c,c,a,a,a
IE.ROMANCE.ROMANSH_SURSILVAN,b,-,b,b,a,a,a,-,d,d,c,c,c,-,-,-,-,-,d,c,c,c,c,c,c,a,a,a
IE.ROMANCE.ROMANSH_VALLADER,b,-,b,b,a,a,a,-,d,d,c,c,c,-,-,-,-,-,d,c,c,c,c,c,c,a,a,a
ST.BODIC.RONDU_BALTI,a,a,-,a,a,b,b,a,-,a,a,b,b,-,a,a,b,b,-,-,-,-,a,b,b,b,b,d
IE.INDIC.RONDU_SHINA,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
NC.BANTOID.RONGA,b,b,b,b,b,-,-,d,d,d,d,-,-,d,d,d,-,-,d,d,-,-,d,-,-,-,-,-
AA.WEST_CHADIC.RON_BOKKOS,b,-,b,-,b,b,a,-,d,-,d,d,c,-,-,-,-,-,-,d,d,c,-,-,-,d,c,c
AA.WEST_CHADIC.RON_DAFFO_BUTURA,b,-,b,-,b,b,a,-,d,-,d,d,c,-,-,-,-,-,-,d,d,c,-,-,-,d,c,c
AA.WEST_CHADIC.RON_MANGAR,b,-,b,-,b,b,a,-,d,-,d,d,c,-,-,-,-,-,-,d,d,c,-,-,-,d,c,c
AA.WEST_CHADIC.RON_MONGUNA,b,-,b,-,b,b,a,-,d,-,d,d,c,-,-,-,-,-,-,d,d,c,-,-,-,d,c,c
An.OCEANIC.ROTUMAN,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.ROTUMAN_2,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
An.OCEANIC.ROVIANA,d,-,d,d,d,c,c,-,d,d,d,c,c,-,-,-,-,-,d,d,c,c,d,c,c,c,c,a
An.RUKAI.RUKAI,d,d,d,-,c,c,-,d,d,-,c,c,-,d,-,c,c,-,-,c,c,-,-,-,-,a,-,-
TuK.TURAMA_KIKORIAN.RUMU,a,a,a,b,b,b,b,a,a,b,b,b,b,a,b,b,b,b,b,b,b,b,d,d,d,d,d,d
Mab.MABAN.RUNGA,a,a,a,b,b,-,a,a,a,b,b,-,a,a,b,b,-,a,b,b,-,a,d,-,c,-,c,-
NC.BANTOID.RUNYANKORE,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
NC.BANTOID.RUNYANKORE_RUKIGA,b,b,b,b,b,b,a,d,d,d,d,d,c,d,d,d,d,c,d,d,d,c,d,d,c,d,c,c
IE.SLAVIC.RUSSIAN,b,b,b,a,a,a,a,d,d,c,c,c,c,d,c,c,c,c,c,c,c,c,a,a,a,a,a,a
NDa.LEZGIC.RUTUL,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
NC.BANTOID.RUUMBU_KIMWAANSA,b,b,b,b,b,b,-,d,d,d,d,d,-,d,d,d,d,-,d,d,d,-,d,d,-,d,-,-
NC.BANTOID.RWANDA,b,b,-,b,a,b,-,d,-,d,c,d,-,-,d,c,d,-,-,-,-,-,c,d,-,b,-,-
NC.BANTOID.RWANDA_KIGOYI,b,b,-,b,a,b,-,d,-,d,c,d,-,-,d,c,d,-,-,-,-,-,c,d,-,b,-,-
NC.BANTOID.RWANDA_RERA,b,b,-,b,a,b,-,d,-,d,c,d,-,-,d,c,d,-,-,-,-,-,c,d,-,b,-,-
NC.BANTOID.RWANDA_TWA_KINIGI,b,b,-,b,a,b,-,d,-,d,c,d,-,-,d,c,d,-,-,-,-,-,c,d,-,b,-,-
NC.BANTOID.S41_XHOSA,b,b,b,b,-,b,a,d,d,d,-,d,c,d,d,-,d,c,d,-,d,c,-,d,c,-,-,c
WP.NORTH_HALMAHERAN.SABALE,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
NDa.AVAR_ANDIC_TSEZIC.SAGADIN_TSEZ,a,a,a,a,a,a,-,a,a,a,a,a,-,a,a,a,a,-,a,a,a,-,a,a,-,a,-,-
WP.NORTH_HALMAHERAN.SAHU,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
An.SOUTH_HALMAHERA_WEST_NEW_GUINEA.SAKETA,b,b,a,b,b,b,a,d,c,d,d,d,c,c,d,d,d,c,b,b,b,a,d,d,c,d,c,c
Alt.TURKIC.SAKHA,a,a,a,a,a,-,b,a,a,a,a,-,b,a,a,a,-,b,a,a,-,b,a,-,b,-,b,-
Ain.AINU.SAKHALIN_AINU,a,a,a,a,a,a,b,a,a,a,a,a,b,a,a,a,a,b,a,a,a,b,a,a,b,a,b,b
An.OCEANIC.SALIBA_PAPUA_NEWGUINEA,a,a,a,b,a,b,a,a,a,b,a,b,a,a,b,a,b,a,b,a,b,a,c,d,c,b,a,c
Sln.SALINAN.SALINAN,d,d,d,-,c,c,-,d,d,-,c,c,-,d,-,c,c,-,-,c,c,-,-,-,-,a,-,-
NC.ADAMAWA.SAMBA_LEKO,b,a,a,b,b,b,a,c,c,d,d,d,c,a,b,b,b,a,b,b,b,a,d,d,c,d,c,c
An.BARITO.SAMIHIM,b,-,b,b,b,b,a,-,d,d,d,d,c,-,-,-,-,-,d,d,d,c,d,d,c,d,c,c
